objet ,Room ,number,Link ,object category,decoration,,,,,,decorative,lien ,Piéce
toy ,bedroom ,1,3,care,,,,,,,,,
tinsel light,Bedroom ,1,3,lamp,x,,,,,,,,
lip balm,Bedroom ,1,3,care,,,,,,,,,
nose eucalyptus sniff,Bedroom ,1,3,care,,,,,,,,,
phone charger,Bedroom ,2,2,cable cord,,,,,,,,,
tripod ,bedroom ,1,4,furniture,,,,,,,,,
bear plush ,Bedroom ,1,3,plush ,x,,,,,,,,
pillowcase,Bedroom ,8,2,sheet,,,,,,,,,
fitted sheet,Bedroom ,2,2,sheet,,,,,,,,,
draw sheet,Bedroom ,1,2,sheet,,,,,,,,,
under sheet,Bedroom ,1,2,sheet,,,,,,,,,
scarf,wardrob,3,4,cloth,,,,,,,,,
bonnet,wardrob,2,4,cloth,,,,,,,,,
glove,wardrob,1,4,cloth,,,,,,,,,
pull,wardrob,1,3,cloth,,,,,,,,,
pull,wardrob,5,7,cloth,,,,,,,,,
pull,wardrob,1,1,cloth,,,,,,,,,
small suitcase,Bedroom ,1,2,storage,,,,,,,,,
big bag,Bedroom ,1,2,storage,,,,,,,,,
bra elongator ,wardrob,3,4,cloth,,,,,,,,,
doc ,bedroom ,2,1,shoes,,,,,,,,,
doc ,Bedroom ,2,4,shoes,,,,,,,,,
doc ,Bedroom ,1,2,shoes,,,,,,,,,
sport shoes,Bedroom ,1,2,shoes,,,,,,,,,
flip flop,Bedroom ,1,2,shoes,,,,,,,,,
high heels,Bedroom ,1,4,shoes,,,,,,,,,
shoes irregular choice,bedroom ,1,4,shoes,,,,,,,,,
jean vest ,Bedroom ,1,2,vest,,,,,,,,,
sweatshirt,Bedroom ,1,4,vest,,,,,,,,,
scarf,Bedroom ,1,2,accessories,,,,,,,,,
kaki vest,Bedroom ,1,3,vest,,,,,,,,,
puffy jacket,Bedroom ,1,7,vest,,,,,,,,,
cardigan,Bedroom ,2,3,vest,,,,,,,,,
blue vest,Bedroom ,1,2,vest,,,,,,,,,
kway,Bedroom ,1,2,vest,,,,,,,,,
cardigan/ sweatshirt,Bedroom ,4,7,vest,,,,,,,,,
science vest,Bedroom ,1,7,vest,,,,,,,,,
shirt ,wardrob,5,2,cloth,,,,,,,,,
shirt ,wardrob,8,3,cloth,,,,,,,,,
shirt ,wardrob,8,4,cloth,,,,,,,,,
